method,exact_match,partial_match,hierarchical_f1,avg_distance,partial_credit,total_samples,valid_samples,level_1_acc,level_2_acc,level_3_acc,level_4_acc,level_5_acc
sam_baseline,0.12,0.115,0.1736904761904762,3.0,0.1928333333333333,100,100,0.2682926829268293,0.20253164556962025,0.14864864864864866,0.09803921568627451,0.0
sam_llm_guided,0.1,0.095,0.18561904761904763,2.6857142857142855,0.21349999999999997,100,100,0.3258426966292135,0.24705882352941178,0.15,0.09259259259259259,0.0
